,Id_produit,Nom produit,Reference,Categorie principale,Categorie,EAN,Supplier_reference,Fournisseur,Marque,Prix,Quantite,VALEUR STOCK
0,22057,ORANGE - ROCKER 15,ROCKER 15,Amplificateurs Guitares Electriques,Combos Guitares Electriques,5060300000000.0,ORA-ROCKER15,HTD - High Tech Distribution,Orange,571.88,2,1143.76
1,33860,GR BASS - AT CUBE 500 BLK,AT CUBE 500 BLK,Amplificateurs Basses Electriques,Combos Basses,3701230000000.0,GR030,IMS Distribution,GR Bass,843.13,1,843.13
2,55552,INVADERS AMPLIFICATION - 535 BLUELEMON NAVY BLUE,535 BL NB,Amplificateurs Guitares Electriques,TÃªtes d'Amplis Guitares Electriques,792650000000.0,INV535BLNB,Filling Distribution,Invaders,843.13,1,843.13
3,19194,ROLAND - BLUES CUBE ARTIST212,BC-ART212B,Amplificateurs Guitares Electriques,Combos Guitares Electriques,4957050000000.0,BC-ART212B,Roland,Roland,829.7,1,829.7
4,19182,BOSS - WAZA 212,WAZA-212,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,4957050000000.0,WAZA-212,Roland,Boss,738.47,1,738.47
5,12372,PEAVEY - CLASSIC 30 112,CLASSIC 30 112,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,14367621198.0,621040,Adagio,Peavey,588.22,1,588.22
6,22547,CATALINBREAD - GALILEO,GALILEO,Amplificateurs Guitares Electriques,PÃ©dales Amp & PrÃ©amplificateurs Guitares Electriques,853710000000.0,CATGAL,Filling Distribution,Catalinbread,195.0,3,585.0
7,62003,BLACKSTAR - HT-20RH MKIII - TÃªte d'ampli 20 watts,HT-20RH MKIII,Amplificateurs Guitares Electriques,TÃªtes d'Amplis Guitares Electriques,845644000000.0,705869,Adagio,Blackstar,544.84,1,544.84
8,33909,GR BASS - GR 210V-4 BLK,GR 210V-4 BLK,Amplificateurs Basses Electriques,Baffles Basses,,GR078B04,IMS Distribution,GR Bass,543.13,1,543.13
9,35552,ELIXIR - 19105 BULK 25 MEDIUM 11-49,19105,Cordes Guitares & Basses,Cordes Guitares Electriques,,CEL 19105,Algam - Camac,Elixir,168.3,3,504.9
10,19190,BOSS - KATANA-ARTIST MkII,KTN-ARTMKII,Amplificateurs Guitares Electriques,Combos Guitares Electriques,4957050000000.0,KTN-ARTMKII,Roland,Boss,483.02,1,483.02
11,23012,DUNLOP - ADU DST-PACK,ADU DST-PACK,Accessoires Guitares & Basses,Sangles Guitares & Basses,,ADU DST-PACK,Algam - Camac,Dunlop,52.5,9,472.5
12,62005,BLACKSTAR - HT-5R MKIII - Combo a valve 5 watts,HT-5R MKIII,Amplificateurs Guitares Electriques,Combos Guitares Electriques,845644000000.0,705871,Adagio,Blackstar,458.06,1,458.06
13,12784,TRACE ELLIOT - ELF 1x10 BASS CABINET,ELF 1x10 BASS CABINET,Amplificateurs Basses Electriques,Baffles Basses,14367655582.0,621835,Adagio,Trace Elliot,417.83,1,417.83
14,7509,VOX - AC10 C1,AC10 C1,Amplificateurs Guitares Electriques,Combos Guitares Electriques,4959110000000.0,MVO AC10C1,Algam - Camac,Vox,381.9,1,381.9
15,55559,INVADERS AMPLIFICATION - CABINET 512 NAVY BLUE,CAB 512 NB,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,710497000000.0,INV512NB,Filling Distribution,Invaders,374.38,1,374.38
16,13043,ERNIE BALL - 2733 - HYBRID SLINKY COBALT 45-105 - Cordes de Basse Ãlectrique - Jeu de 4,CEB 2733,Cordes Guitares & Basses,Cordes Basses Electriques,749699000000.0,CEB 2733,Algam - Gaffarel,Ernie Ball,23.1,14,323.4
17,25794,BLACKSTAR - ST. JAMES 212VOC BLACK,ST. JAMES 212VOC BLACK,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,845644000000.0,648047,Adagio,Blackstar,321.69,1,321.69
18,24991,TWO NOTES - TORPEDO CAPTOR X 16,TORPEDO CAPTOR X 16,Amplificateurs Guitares Electriques,AttÃ©nuateurs de puissance,3700670000000.0,TNTCAX16,Filling Distribution,Two notes,374.38,1,374.38
19,23356,MARKBASS - AMS 121,AMS 121,Amplificateurs Basses Electriques,Baffles Basses,8059310000000.0,4541270M13003,Mogar,Markbass,300.48,1,300.48
20,18821,BOSS - ACOUSTIC SINGER LIVE LT,ACS LIVE LT,Amplificateurs Guitares Acoustiques,Combos Guitares Acoustiques,4957050000000.0,ACS-LIVELT,Roland,Boss,299.69,1,299.69
21,42311,BLACKSTAR - HTV-212 MKIII,HTV-212 MKIII,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,845644000000.0,677360,Adagio,Blackstar,290.7,1,290.7
22,49613,UNIVERSAL AUDIO - UAFX LION AMP - PÃ©dale d'amplification LION'68 sÃ©rie UAFX,UAFX LION AMP,Amplificateurs Guitares Electriques,PÃ©dales Amp & PrÃ©amplificateurs Guitares Electriques,819937000000.0,GPM-LION,Universal Audio,Universal Audio,280.52,1,280.52
23,19186,BOSS - KATANA CABINET212,KTN-CAB212,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,4957050000000.0,KTN-CAB212,Roland,Boss,278.87,1,278.87
24,15692,MARSHALL - CODE25 COMBO,CODE25,Amplificateurs Guitares Electriques,Combos Guitares Electriques,5030460000000.0,MMA CODE25,Algam - Gaffarel,Marshall,137.1,2,274.2
25,39072,ORANGE - PPC 112 BLACK,PPC 112 BLACK,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,5060120000000.0,ORA-PPC-112BK,HTD - High Tech Distribution,Orange,262.5,1,262.5
26,22931,ASHDOWN - STUDIO 12,STUDIO 12,Amplificateurs Basses Electriques,Combos Basses,714271000000.0,MAS STUDIO-12,Algam - Gaffarel,Ashdown,260.8,1,260.8
27,28702,MARKBASS - CMB 121 BLACK LINE - Combo 150 W 1 X 12 121 Blackline,CMB 121 BLACK LINE,Amplificateurs Basses Electriques,Combos Basses,8059310000000.0,4541269M01008,Mogar,Markbass,249.57,1,249.57
28,55520,VOX - AMPLUG3 BOUTIQUE - Ampli casque,AMPLUG3 BOUTIQUE,Accessoires Guitares & Basses,Amplificateurs pour Casque Compacts,4959110000000.0,MVO AP3-BQ,Algam - Camac,Vox,34.0,7,238.0
29,7553,VOX - AMPLUG 2 BASS,AMPLUG 2 BASS,Accessoires Guitares & Basses,Amplificateurs pour Casque Compacts,4959110000000.0,MVO AP2-BS,Algam - Camac,Vox,27.8,8,222.4
30,24988,TWO NOTES - TORPEDO CAPTOR 16,TORPEDO CAPTOR 16,Amplificateurs Guitares Electriques,AttÃ©nuateurs de puissance,3700670000000.0,TNTCA16,Filling Distribution,Two notes,239.0,1,239.0
31,24989,TWO NOTES - TORPEDO CAPTOR 4,TORPEDO CAPTOR 4,Amplificateurs Guitares Electriques,AttÃ©nuateurs de puissance,3663600000000.0,TNTCA4,Filling Distribution,Two notes,239.0,1,239.0
32,54001,PEAVEY - ENVOY 110 - Amplificateur combo ENVOY 110 sÃ©rie TransTube,ENVOY 110,Amplificateurs Basses Electriques,Combos Basses,14367156751.0,621062,Adagio,Peavey,216.33,1,216.33
33,24125,TECH 21 - SANSAMP BASS DRIVER DI V2,SANSAMP BASS DRIVER DI V2,Amplificateurs Basses Electriques,PrÃ©amplificateurs Basses,837088000000.0,2150265T12004,Mogar,Tech 21,213.0,1,213.0
34,35419,ELIXIR - 14052 - Set de 4 cordes basse,14052,Cordes Guitares & Basses,Cordes Basses Electriques,733132000000.0,CEL 14052,Algam - Camac,Elixir,35.0,6,210.0
35,35507,ELIXIR - 16005 BULK 25 EXTRA LIGHT 10-47,16005,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,,CEL 16005,Algam - Camac,Elixir,208.7,1,208.7
36,23445,MARKBASS - MB4VGSS50110LS,MB4VGSS50110LS,Cordes Guitares & Basses,Cordes Basses Electriques,,4570425849002 *OLD*,Mogar,Markbass,48.25,4,193.0
37,51618,MUSICNOMAD - MN290,MN290,Accessoires Guitares & Basses,Outils et Entretien,857047000000.0,MNO-MN290,HTD - High Tech Distribution,MusicNomad,184.08,1,184.08
38,35543,ELIXIR - 19027 ELEC OPTIWEB CL 09-46,19027,Cordes Guitares & Basses,Cordes Guitares Electriques,733132000000.0,CEL 19027,Algam - Camac,Elixir,10.75,17,182.75
39,52059,HOTONE - MP 80 AMPERO ONE,MP 80 AMP ONE,Amplificateurs Guitares Electriques,PÃ©dales Amp & PrÃ©amplificateurs Guitares Electriques,6959470000000.0,HO-0016,WOOD4MUSIC,Hotone,177.87,1,177.87
40,31148,IBANEZ - PTPRE PENTATONE PREAMP - PÃ©dale d'effet pour guitare Ã©lectrique,PTPRE PENTATONE PREAMP,Amplificateurs Guitares Electriques,PÃ©dales Amp & PrÃ©amplificateurs Guitares Electriques,4549760000000.0,PTPRE,Hoshino,Ibanez,176.79,1,176.79
41,37945,CORT - AF30 - Ampli guitare acoustique,CORT AF30,Amplificateurs Guitares Acoustiques,Combos Guitares Acoustiques,8809380000000.0,AF30,Saico - Ti,Cort,175.47,1,175.47
42,35420,ELIXIR - 14077 - Set de 4 cordes basse,14077,Cordes Guitares & Basses,Cordes Basses Electriques,733132000000.0,CEL 14077,Algam - Camac,Elixir,35.0,5,175.0
43,31154,IBANEZ - T30II TROUBADOUR - Amplificateur combo pour guitare acoustique,T30II TROUBADOUR,Amplificateurs Guitares Acoustiques,Combos Guitares Acoustiques,4549760000000.0,T30IIU,Hoshino,Ibanez,169.69,1,169.69
44,13091,ERNIE BALL - 2831 - POWER SLINKY NICKEL WOUND 55-110 - Cordes de Basse Ãlectrique - Jeu de 4,CEB 2831,Cordes Guitares & Basses,Cordes Basses Electriques,749699000000.0,CEB 2831,Algam - Gaffarel,Ernie Ball,16.75,10,167.5
45,54346,BLACKSTAR - ID:CORE 40 V4 - Amplificateur programmable avec effets de studio et diffusion stÃ©rÃ©o,IDC 40 V4,Amplificateurs Guitares Electriques,Combos Guitares Electriques,,703311,Adagio,Blackstar,160.54,1,160.54
46,26176,EMINENCE - BASSLITE-SC10-16,BASSLITE-SC10-16,Amplificateurs Guitares & Basses,Haut-parleurs,876358000000.0,EMIBASSLITESC1016,MSC Distribution - Major Audio,Eminence,154.4,1,154.4
47,14320,VOX - ADIO AIR GT,ADIO AIR GT,Amplificateurs Guitares Electriques,Combos Guitares Electriques,4959110000000.0,MVO ADIO-AIR-GT,Algam - Camac,Vox,151.56,1,151.56
48,22058,ORANGE - MICRO TERROR,MICRO TERROR,Amplificateurs Guitares Electriques,TÃªtes d'Amplis Guitares Electriques,5060120000000.0,ORA-MT,HTD - High Tech Distribution,Orange,140.83,1,140.83
49,12877,ERNIE BALL - 2012 - EARTHWOOD MEDIUM 11-28 - Cordes de Guitare Acoustique - Jeu de 6,CEB 2012,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,749699000000.0,CEB 2012,Algam - Gaffarel,Ernie Ball,8.8,16,140.8
50,42261,MARK STRINGS - SIGNATURE GOUCHE 040-120 STAIN - Jeu 5 cordes basse,SIGNATURE GOUCHE 040-120 STAIN,Cordes Guitares & Basses,Cordes Basses Electriques,8059310000000.0,,Mogar,Mark Strings,34.97,4,139.88
51,52074,HOTONE - MP 50PT AMPERO MINI PURPLE TARO,MP 50PT AMP MINI PURP TA,Amplificateurs Guitares Electriques,PÃ©dales Amp & PrÃ©amplificateurs Guitares Electriques,6959470000000.0,HO-0048,WOOD4MUSIC,Hotone,138.78,1,138.78
52,52075,HOTONE - MP 50MC AMPERO MINI MATCHA,MP 50MC AMP MINI MAT,Amplificateurs Guitares Electriques,PÃ©dales Amp & PrÃ©amplificateurs Guitares Electriques,6959470000000.0,HO-0049,WOOD4MUSIC,Hotone,138.78,1,138.78
53,42243,MARK STRINGS - GROOVE 045-130 NICKEL PLATED STEEL - Jeu 5 cordes basse,GROOVE 045-130 NICKEL PLATED S,Cordes Guitares & Basses,Cordes Basses Electriques,8033830000000.0,,Mogar,Mark Strings,27.63,5,138.15
54,35514,ELIXIR - 16077 PHOS.BRONZE. ML 12-56,16077,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,733132000000.0,CEL 16077,Algam - Camac,Elixir,13.45,10,134.5
55,25865,VOX - MINI GO 3,MINI GO 3,Amplificateurs Guitares Electriques,Combos Guitares Electriques,4959110000000.0,MVO VMG-3,Algam - Camac,Vox,131.9,1,131.9
56,55529,GRAVITY - FG SEAT 1 - Tabouret de musicien avec support pour guitare,FG SEAT 1,Accessoires Guitares & Basses,Accessoires Divers Guitares & Basses,4049520000000.0,GFGSEAT1,Adam Hall,Gravity,62.86,2,125.72
57,7311,BLACKSTAR - HT-1R,HT-1R,Amplificateurs Guitares Electriques,Combos Guitares Electriques,84564400548.0,HT1R,Adagio,Blackstar,125.48,1,125.48
58,29222,CHERUB - WST 905LI - Accordeur avec pince acier robuste,WST 905LI,Accessoires Guitares & Basses,Accordeurs,6936260000000.0,ECH WST-905LI,Algam - Audia,Cherub,13.28,9,119.52
59,22114,ORANGE - CRUSH 12 Black,CRUSH 12 Black,Amplificateurs Guitares Electriques,Combos Guitares Electriques,5060300000000.0,ORA-CR12BK,HTD - High Tech Distribution,Orange,115.83,1,115.83
60,14503,MARSHALL - MS-2R,MS-2R,Amplificateurs Guitares Electriques,Combos Guitares Electriques,5030460000000.0,MMA MS2R,Algam - Gaffarel,Marshall,28.9,4,115.6
61,12874,ERNIE BALL - 2004 - EARTHWOOD BRONZE LIGHT 11-52 - Cordes de Guitare Acoustique - Jeu de 6,CEB 2004,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,749699000000.0,CEB 2004,Algam - Gaffarel,Ernie Ball,5.25,22,115.5
62,13047,ERNIE BALL - 2734 - SUPER SLINKY COBALT 45-100 - Cordes de Basse Ãlectrique - Jeu de 4,CEB 2734,Cordes Guitares & Basses,Cordes Basses Electriques,749699000000.0,CEB 2734,Algam - Gaffarel,Ernie Ball,23.1,5,115.5
63,35344,ELIXIR - 11002 NANOWEB XL 10-47,11002,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,733132000000.0,CEL 11002,Algam - Camac,Elixir,12.75,9,114.75
64,19428,ZT AMPLIFIERS - LBJ1 - LUNCHBOX JUNIOR AMP,LBJ1,Amplificateurs Guitares Electriques,Combos Guitares Electriques,91037228291.0,ZTLBJ1-EU,Hal Leonard,ZT Amplifiers,114.71,1,114.71
65,26659,ROTOSOUND - SOLO BASS 55 SM55,SOLO BASS 55 SM55,Cordes Guitares & Basses,Cordes Basses Electriques,686194000000.0,ROTSM55,Filling Distribution,Rotosound,46.9,3,140.7
66,26163,EMINENCE - GA-SC64,GA-SC64,Amplificateurs Guitares & Basses,Haut-parleurs,876358000000.0,SEM GA-SC64,Algam - Audia,Eminence,110.5,1,110.5
67,42238,MARK STRINGS - GROOVE 040-100 NICKEL PLATED STEEL - Jeu 4 cordes basse,GROOVE 040-100 NICKEL PLATED S,Cordes Guitares & Basses,Cordes Basses Electriques,8033830000000.0,,Mogar,Mark Strings,20.73,5,103.65
68,26158,EMINENCE - GA10-SC64,GA10-SC64,Amplificateurs Guitares & Basses,Haut-parleurs,876358000000.0,SEM GA10-SC64,Algam - Audia,Eminence,98.15,1,98.15
69,12910,ERNIE BALL - 2146 - EARTHWOOD PHOSPHOR MEDIUM LIGHT 12-54 - Cordes de Guitare Acoustique - Jeu,CEB 2146,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,749699000000.0,CEB 2146,Algam - Gaffarel,Ernie Ball,6.0,16,96.0
70,22531,ORANGE - PPC108 BLACK,PPC108 BLACK,Amplificateurs Guitares Electriques,Baffles Guitares Electriques,5060300000000.0,ORA-PPC-108BK,HTD - High Tech Distribution,Orange,90.83,1,90.83
71,26599,PROVIDENCE - V206 SLIM PATCH 30CM S/L,V206 SLIM PATCH 30CM S/L,Accessoires Guitares & Basses,CÃ¢bles de Patch,4539590000000.0,PVV206-30SL,Filling Distribution,Providence,32.9,3,98.7
72,26046,EMINENCE - PSD2002-SA,PSD2002-SA,Amplificateurs Guitares & Basses,Haut-parleurs,876358000000.0,EMIPSD2002S,MSC Distribution - Major Audio,Eminence,86.66,1,86.66
73,53495,FLIGHT - TINY6W - Ampli ukulÃ©lÃ© portable Tiny6 2x3 W - Noyer,TINY6W,Amplificateurs Guitares & Basses,Amplificateurs Guitares Acoustiques,,ALMTINY6W,Hal Leonard,Flight,42.01,2,84.02
74,31341,IBANEZ - B1000PGPW,B1000PGPW,Accessoires Guitares & Basses,MÃ©diators,4515110000000.0,B1000PGPW,Hoshino,Ibanez,5.25,16,84.0
75,42265,MARK STRINGS - LONGEVO 045-105 NICKEL PLATED STEEL - Jeu 4 cordes basse,LONGEVO 045-105 NICKEL PLATED S,Cordes Guitares & Basses,Cordes Basses Electriques,8033830000000.0,4S70425868001,Mogar,Mark Strings,27.9,3,83.7
76,29897,ERNIE BALL - 2222 HYBRID SLINKY,2222 HYBRID SLINKY,Cordes Guitares & Basses,Cordes Guitares Electriques,749699000000.0,CEB 2222,Algam - Gaffarel,Ernie Ball,4.85,17,82.45
77,13273,BLACKSTAR - FLY PACK BASS,FLY PACK BASS,Amplificateurs Basses Electriques,Baffles Basses,845644000000.0,44160,Adagio,Blackstar,81.45,1,81.45
78,7378,BLACKSTAR - FLY STEREO PACK,FLY STEREO PACK,Amplificateurs Guitares Electriques,Combos Guitares Electriques,845644000000.0,43876,Adagio,Blackstar,80.89,1,80.89
79,12872,ERNIE BALL - 2047 - EARTHWOOD EXTRA LIGHT 10-50 - Cordes de Guitare Acoustique  - Jeu de 6,CEB 2047,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,749699000000.0,CEB 2047,Algam - Gaffarel,Ernie Ball,9.8,8,78.4
80,26593,PROVIDENCE - V206 SLIM PATCH 15CM L/L,V206 SLIM PATCH 15CM L/L,Accessoires Guitares & Basses,CÃ¢bles de Patch,4539590000000.0,PVV206-15,Filling Distribution,Providence,30.9,3,92.7
81,29896,ERNIE BALL - 2223 SUPER SLINKY,2223 SUPER SLINKY,Cordes Guitares & Basses,Cordes Guitares Electriques,,CEB 2223,Algam - Gaffarel,Ernie Ball,4.85,16,77.6
82,29899,ERNIE BALL - 2226 BURLY SLINKY,2226 BURLY SLINKY,Cordes Guitares & Basses,Cordes Guitares Electriques,749699000000.0,CEB 2226,Algam - Gaffarel,Ernie Ball,4.85,16,77.6
83,35350,ELIXIR - 11052 NANOWEB L 12-53,11052,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,733132000000.0,CEL 11052,Algam - Camac,Elixir,12.75,6,76.5
84,21038,ERNIE BALL - 2409 - ERNESTO PALLA NYLON BALL END - Cordes de Guitare Classique - Jeu de 6,CEB 2409,Cordes Guitares & Basses,Cordes Guitares Classiques,749699000000.0,CEB 2409,Algam - Gaffarel,Ernie Ball,6.95,11,76.45
85,34188,LEVY'S - MP2-009 - Sangle guitare et basse ,MP2-009,Accessoires Guitares & Basses,Sangles Guitares & Basses,734991000000.0,LEV-MP2-009,HTD - High Tech Distribution,Levy's,18.74,4,74.96
86,12878,ERNIE BALL - 2003 - EARTHWOOD MEDIUM LIGHT 12-54 - Cordes de Guitare Acoustique - Jeu de 6,CEB 2003,Cordes Guitares & Basses,Cordes Guitares Acoustiques / Folks,749699000000.0,CEB 2003,Algam - Gaffarel,Ernie Ball,5.25,14,73.5
